,group_stage,ro16,ro8,fourth,third,second,first
dark,5492,4779,8268,1892,3375,3597,2212
parting,11490,6462,6646,1847,1419,1379,302
stats,12740,6983,6243,1546,953,914,187
zest,9187,5910,7412,2105,2212,2207,552
dear,14043,6425,5636,1478,912,864,171
has,28091,1475,250,13,1,2,0
hurricane,28292,1306,236,9,1,2,0
patience,27275,2011,447,42,3,3,0
showtime,14759,6761,5321,1280,671,649,160
sos,11803,6368,6326,1728,1434,1524,346
trap,12457,6251,6256,1633,1289,1341,291
cure,8253,5904,7611,2019,2193,2167,1451
maru,5951,5186,8001,1899,2970,2967,2702
ty,11594,6510,6565,1849,1363,1306,348
innovation,12807,6611,6124,1657,1050,992,320
special,24374,3818,1320,192,20,14,1
elazer,19284,6122,3276,598,216,159,21
reynor,7641,5979,7876,2165,2480,2423,1064
rogue,10236,6401,7300,1960,1605,1585,461
serral,599,772,3836,329,2691,2921,18713
solar,10935,6394,7058,1849,1545,1455,338
armani,27081,2228,442,51,4,1,1
lambo,26243,2843,621,78,6,7,0
soo,10911,6501,6929,1781,1587,1521,359
