model,train acc,test acc
Logit – no tuning,0.70982606300714,0.771614040439992
Optimized logit,0.709705302853753,0.771783529092727
XGBoost – no tuning,0.743954577233533,0.764597210216776
CatBoost – no Tuning,0.72385013029385,0.775529228318164
CatBoost – Optimized,0.73161585559628,0.774342807749021
"CatBoost – no tuning, less features",0.699442808415076,0.771342858595617
